var,k,type
0.013729790949155657,10,normal
0.009618296877329449,10,anti
0.013907378169640095,20,normal
0.009405884098357348,20,anti
0.013769822684973433,30,normal
0.00909863335734435,30,anti
0.013797989830651006,40,normal
0.009137533089643586,40,anti
0.01370720861965985,50,normal
0.008971309789301761,50,anti
0.01375014565308782,60,normal
0.009051995800073152,60,anti
0.013667240378258361,70,normal
0.009022008464151899,70,anti
0.013739119146870775,80,normal
0.00901687343398185,80,anti
0.01370114345879441,90,normal
0.008977597780814398,90,anti
0.013655782472449468,100,normal
0.008963924297136366,100,anti
0.013695337540659946,110,normal
0.008973980623726634,110,anti
0.013716640164970043,120,normal
0.009002441905389364,120,anti
0.013694717035979308,130,normal
0.008971263174610139,130,anti
0.013709125834501882,140,normal
0.008996771079819684,140,anti
0.013703766373900667,150,normal
0.008974450320982786,150,anti
0.013696737543216335,160,normal
0.008974110661166166,160,anti
0.01367956015842125,170,normal
0.008954454579536258,170,anti
0.013695790999561978,180,normal
0.008959471470852699,180,anti
0.013706943050404197,190,normal
0.008962017452168682,190,anti
0.013673355661414147,200,normal
0.00895178226077117,200,anti
0.013011968149700558,10,normal
0.008431135833892977,10,anti
0.012614540526539937,20,normal
0.008259697847573636,20,anti
0.012512897030350833,30,normal
0.008210716626610744,30,anti
0.012515513377422174,40,normal
0.008219455902284536,40,anti
0.012522711944050621,50,normal
0.008164625417295358,50,anti
0.012439462596426396,60,normal
0.008101347381267601,60,anti
0.012436474509321551,70,normal
0.008176039071608283,70,anti
0.012359429843295472,80,normal
0.008133656196284067,80,anti
0.012340582949109662,90,normal
0.008097543470170568,90,anti
0.012372582029978537,100,normal
0.008120533949396786,100,anti
0.012373611056371666,110,normal
0.008148994791536298,110,anti
0.012364978079526977,120,normal
0.008110222833321445,120,anti
0.012360359179892609,130,normal
0.008145360127950915,130,anti
0.012348520476202768,140,normal
0.008144377250886911,140,anti
0.012375632687032314,150,normal
0.008127197606197449,150,anti
0.012340228619720315,160,normal
0.008126719306428946,160,anti
0.012341306656541805,170,normal
0.008115739506948695,170,anti
0.012346630673409048,180,normal
0.008108837807313217,180,anti
0.012323849593141225,190,normal
0.008124384393402389,190,anti
0.012339922969839358,200,normal
0.00811230748134005,200,anti
0.009066255735454245,10,normal
0.011438043216064465,10,anti
0.008864884089302609,20,normal
0.011065355588410106,20,anti
0.00894730385285174,30,normal
0.010830739459926726,30,anti
0.008834807626415692,40,normal
0.010856178802812715,40,anti
0.008836630031772758,50,normal
0.01077370787014533,50,anti
0.008855971844957868,60,normal
0.010750726756547438,60,anti
0.008834041774448442,70,normal
0.010755395482404874,70,anti
0.008864119312068658,80,normal
0.010722007276132662,80,anti
0.008855306060106267,90,normal
0.01073852786895554,90,anti
0.008833294737281588,100,normal
0.01073495506287004,100,anti
0.008829332875536045,110,normal
0.010718229422209838,110,anti
0.008827761164128593,120,normal
0.010721431186364566,120,anti
0.008853953452417426,130,normal
0.010713528587810182,130,anti
0.008827874575769524,140,normal
0.010693594594757546,140,anti
0.008840597938022297,150,normal
0.010708306282313156,150,anti
0.008823870944345889,160,normal
0.010665672077830929,160,anti
0.008831457102938043,170,normal
0.010716363690352004,170,anti
0.008842285680371202,180,normal
0.010709672620075519,180,anti
0.00882231556998901,190,normal
0.010694520961218236,190,anti
0.008843419026725138,200,normal
0.010698854439863879,200,anti
0.016333182886773993,10,normal
0.010178589171029364,10,anti
0.01627394486683059,20,normal
0.010281735702144372,20,anti
0.016183331946212614,30,normal
0.010174945203693345,30,anti
0.016087237543646365,40,normal
0.01016437174493538,40,anti
0.015965421025549317,50,normal
0.01015930806199434,50,anti
0.016024379371465475,60,normal
0.010164870793990996,60,anti
0.015903052283863902,70,normal
0.01008739763980072,70,anti
0.015975257776973856,80,normal
0.010126063781791579,80,anti
0.015999203854218366,90,normal
0.01013558851054958,90,anti
0.01599588820216204,100,normal
0.010154225329901555,100,anti
0.015968324229533034,110,normal
0.010139283428720957,110,anti
0.015916112682165293,120,normal
0.010104706892715263,120,anti
0.015949017377022742,130,normal
0.010124074978128348,130,anti
0.015918481095604096,140,normal
0.010091470298177717,140,anti
0.015960639533714314,150,normal
0.010126728847793082,150,anti
0.015920432518261654,160,normal
0.010110256024495745,160,anti
0.015903460644161836,170,normal
0.010087147366272881,170,anti
0.015938163356714292,180,normal
0.010126354031028614,180,anti
0.015937868604146616,190,normal
0.010112738340841114,190,anti
0.015951977292635314,200,normal
0.010120739113980409,200,anti
0.01372439155276247,10,normal
0.012504119767577091,10,anti
0.013108489379228313,20,normal
0.012444333557062839,20,anti
0.013103230857635777,30,normal
0.012402315016153303,30,anti
0.013342007800999107,40,normal
0.012453865702889845,40,anti
0.013065680392222834,50,normal
0.012411410264477453,50,anti
0.012974725070782846,60,normal
0.012355861911843694,60,anti
0.01314429062810721,70,normal
0.012408474236369817,70,anti
0.013173126524588807,80,normal
0.012401397922010128,80,anti
0.01305074946890038,90,normal
0.012349871844141191,90,anti
0.013011387703312387,100,normal
0.012327134761766948,100,anti
0.013035533624573385,110,normal
0.012333867954718969,110,anti
0.013101412916071078,120,normal
0.012356524197125136,120,anti
0.013105943059793828,130,normal
0.012369135195706621,130,anti
0.013108465238453122,140,normal
0.012365327824728255,140,anti
0.013087883367804769,150,normal
0.012351689442640116,150,anti
0.013083911600122686,160,normal
0.012353374586936677,160,anti
0.01305560040609624,170,normal
0.012339819483877024,170,anti
0.013085639654987245,180,normal
0.012348194555053224,180,anti
0.013097103763178472,190,normal
0.01236443432455463,190,anti
0.013088128259719986,200,normal
0.012342550492279569,200,anti
0.017253991287117982,10,normal
0.012242395387539282,10,anti
0.016681657177716396,20,normal
0.01183363804084172,20,anti
0.016903470875791023,30,normal
0.01181239852894264,30,anti
0.01687588279527537,40,normal
0.01177262287758661,40,anti
0.016831546369063595,50,normal
0.01165812891144911,50,anti
0.016742308434373417,60,normal
0.011727131729138073,60,anti
0.016801009370632256,70,normal
0.01166361900104975,70,anti
0.016759025317223453,80,normal
0.01165642984545007,80,anti
0.016767540988703266,90,normal
0.011646346592911624,90,anti
0.016759972940553106,100,normal
0.011660193631288607,100,anti
0.016724839314087324,110,normal
0.011587466547187748,110,anti
0.01671962590331667,120,normal
0.01164477493573238,120,anti
0.016761846252427364,130,normal
0.011614403634631556,130,anti
0.01674150135218549,140,normal
0.01161721649264891,140,anti
0.0167418859440019,150,normal
0.011628569432027665,150,anti
0.016727913223279,160,normal
0.011627963929459882,160,anti
0.0166962498930322,170,normal
0.011607224150633479,170,anti
0.016715773000616666,180,normal
0.011611895436746249,180,anti
0.0167191873177288,190,normal
0.011603816170726818,190,anti
0.016716553781619594,200,normal
0.011619581380532751,200,anti
0.014702991463303063,10,normal
0.013324917867832733,10,anti
0.014346311419030297,20,normal
0.01288674839134802,20,anti
0.014220809529545311,30,normal
0.012734313410281814,30,anti
0.014270900799834032,40,normal
0.012670171319998468,40,anti
0.014191103552623511,50,normal
0.012681928267244725,50,anti
0.014142891064504034,60,normal
0.012614091452710762,60,anti
0.01410292989445479,70,normal
0.012567238360194069,70,anti
0.014115552691507997,80,normal
0.012552836299437578,80,anti
0.014075137011834996,90,normal
0.012578830129193544,90,anti
0.014111142740614643,100,normal
0.012578250698095502,100,anti
0.014081258090912218,110,normal
0.012551327722769172,110,anti
0.014075976927815636,120,normal
0.012539839582428491,120,anti
0.014068962066453401,130,normal
0.012519644055065116,130,anti
0.014031014296044062,140,normal
0.012512394347721433,140,anti
0.014040104899259425,150,normal
0.012531331860225075,150,anti
0.014023266865019129,160,normal
0.012505887551744038,160,anti
0.014045461758425538,170,normal
0.01251069987529956,170,anti
0.014033952180774956,180,normal
0.012510494379501285,180,anti
0.014049232955006591,190,normal
0.012506424237084021,190,anti
0.014045797081526448,200,normal
0.012521424182636165,200,anti
0.011892638722597153,10,normal
0.008439355763193022,10,anti
0.011587815308901215,20,normal
0.008265132611969829,20,anti
0.011666138542442776,30,normal
0.008110013446827014,30,anti
0.011588304535041729,40,normal
0.008132198220647374,40,anti
0.011573299402768357,50,normal
0.008076582282707969,50,anti
0.011558226087802558,60,normal
0.008053628556034734,60,anti
0.011518645777696835,70,normal
0.007936766763320419,70,anti
0.011592777114949883,80,normal
0.00800204173218171,80,anti
0.011531829529478422,90,normal
0.0079885045404215,90,anti
0.011544002444675601,100,normal
0.00795041476014779,100,anti
0.011524534650480965,110,normal
0.007954372442611518,110,anti
0.011578321957560056,120,normal
0.007944342881355109,120,anti
0.011550423393781727,130,normal
0.00792349056603012,130,anti
0.011553439494254926,140,normal
0.007935516650241786,140,anti
0.011526086833636056,150,normal
0.007923339075617153,150,anti
0.011567139581996483,160,normal
0.00794198475809519,160,anti
0.01152177761586971,170,normal
0.007903394515787688,170,anti
0.011512454714295307,180,normal
0.007917690652705726,180,anti
0.011534617159444463,190,normal
0.007898481093803601,190,anti
0.011518733830323294,200,normal
0.00789459603597257,200,anti
0.015859463154573063,10,normal
0.009347397394980927,10,anti
0.015593679954493869,20,normal
0.009077501511338138,20,anti
0.015504194744379744,30,normal
0.00909065513931991,30,anti
0.015311188084919065,40,normal
0.008950316114924677,40,anti
0.015306877033533525,50,normal
0.008940187712305595,50,anti
0.01530412487608062,60,normal
0.008960852593445744,60,anti
0.015233542051505006,70,normal
0.008904355916058903,70,anti
0.015198514301885813,80,normal
0.008884559607914512,80,anti
0.015159649665570832,90,normal
0.008879652744882643,90,anti
0.015194630520330994,100,normal
0.008885232089823227,100,anti
0.015173950217288968,110,normal
0.008885813481066866,110,anti
0.015192080914974348,120,normal
0.008883669159826149,120,anti
0.015161247218377796,130,normal
0.008862441842656273,130,anti
0.01520136103672611,140,normal
0.008892541366322107,140,anti
0.015182110672714999,150,normal
0.008897758139655739,150,anti
0.015183045179741351,160,normal
0.008888732224230244,160,anti
0.015170966545037532,170,normal
0.008870374237469811,170,anti
0.015148135718435455,180,normal
0.00887189343554151,180,anti
0.015193962945045943,190,normal
0.008898394200898344,190,anti
0.015164889077368014,200,normal
0.008878263373309185,200,anti
0.014743087538050042,10,normal
0.00846835293401899,10,anti
0.01496010807546371,20,normal
0.008349017679101157,20,anti
0.014980066067058515,30,normal
0.008281391482407719,30,anti
0.015034332639269999,40,normal
0.008348243477974845,40,anti
0.014972984976675492,50,normal
0.008260494156465169,50,anti
0.014864068329518724,60,normal
0.00827980304314015,60,anti
0.014928562805104592,70,normal
0.008357230444205837,70,anti
0.014890104422510266,80,normal
0.00826603482421984,80,anti
0.014952409051136588,90,normal
0.008286537032216547,90,anti
0.014959363359332957,100,normal
0.008281477138653442,100,anti
0.01494103741072969,110,normal
0.008277480219042701,110,anti
0.014905706384402995,120,normal
0.008281625603699093,120,anti
0.014900614626311483,130,normal
0.008255788089050484,130,anti
0.014881461383665837,140,normal
0.008273286640291954,140,anti
0.014889227226808131,150,normal
0.008246540323892722,150,anti
0.014893166404417416,160,normal
0.008266507910946365,160,anti
0.014922821077664973,170,normal
0.00828571611520064,170,anti
0.01487583791382777,180,normal
0.008253955103401215,180,anti
0.014869745435916504,190,normal
0.008252703277903735,190,anti
0.014918491898857678,200,normal
0.008282911614391885,200,anti
