var,p,type
0.012125241607135368,10,normal
0.010065733739773475,10,anti
0.019103484175926368,10,normal
0.014525548941074358,10,anti
0.011842367045038915,10,normal
0.0076383639030798015,10,anti
0.01798805331926506,10,normal
0.010725928882367524,10,anti
0.018549686715860644,10,normal
0.013177398562013169,10,anti
0.017706749120937917,10,normal
0.015833541012588357,10,anti
0.021663495516062854,10,normal
0.014898369335077932,10,anti
0.02407656487539602,10,normal
0.014331934976881075,10,anti
0.020171523922927266,10,normal
0.014424784671217484,10,anti
0.013690098807816145,10,normal
0.012717826983778777,10,anti
0.006398576768623059,120,normal
0.004908425901965011,120,anti
0.006559664825295858,120,normal
0.0062494881029825245,120,anti
0.0057875578341233525,120,normal
0.0032490069162924855,120,anti
0.00754359686012055,120,normal
0.004377833080409753,120,anti
0.005997093236022686,120,normal
0.005496482960152831,120,anti
0.006590999915106917,120,normal
0.004041511764671216,120,anti
0.0044323469642906866,120,normal
0.00332200312608046,120,anti
0.00514717366614184,120,normal
0.005213049874814451,120,anti
0.005862355777929454,120,normal
0.003910969324701184,120,anti
0.00593212765877805,120,normal
0.003702788192017795,120,anti
0.005771908864710404,230,normal
0.0032051006156485705,230,anti
0.0036057852530843697,230,normal
0.00333099366629537,230,anti
0.0047064132733368475,230,normal
0.0031164575599605514,230,anti
0.0045361192228308075,230,normal
0.003410058447996324,230,anti
0.00392354851733578,230,normal
0.0027583875083499513,230,anti
0.004466284416468588,230,normal
0.003735691092264012,230,anti
0.004515177793279187,230,normal
0.0031042543593798764,230,anti
0.004781429479759555,230,normal
0.0030976061440126943,230,anti
0.0033956323655283762,230,normal
0.002855218638508938,230,anti
0.004104390560704026,230,normal
0.002459533983096111,230,anti
0.0026960564066806024,340,normal
0.002140397275557143,340,anti
0.004291776289821143,340,normal
0.002548476981865798,340,anti
0.0028801313816208393,340,normal
0.0024214462289492535,340,anti
0.002998449264201679,340,normal
0.0030413262665605007,340,anti
0.0027543140657900274,340,normal
0.0020998708066028793,340,anti
0.0030013209834029993,340,normal
0.0027479236864623013,340,anti
0.0033195658232017342,340,normal
0.0019614333413282823,340,anti
0.0035159994430545645,340,normal
0.002084707164636301,340,anti
0.0036714520819419736,340,normal
0.001893556567836232,340,anti
0.004263278899238408,340,normal
0.002848428353262337,340,anti
0.0024952602692957285,450,normal
0.0020980346593111013,450,anti
0.0034504833691630095,450,normal
0.0022641832152604582,450,anti
0.0028506932978543792,450,normal
0.00162423895253511,450,anti
0.0025407131326689097,450,normal
0.0016435870340930996,450,anti
0.002450632232720412,450,normal
0.002165259095275351,450,anti
0.0029778461629104466,450,normal
0.0019338526974163007,450,anti
0.0036359270404571955,450,normal
0.0017751458448983244,450,anti
0.0031081719519672293,450,normal
0.0024312117074340844,450,anti
0.00303954720598174,450,normal
0.0021536560872018173,450,anti
0.002774539008450196,450,normal
0.002029625876231026,450,anti
0.0035677678393745515,560,normal
0.0021601704001850677,560,anti
0.0032952909595522196,560,normal
0.002930751824337483,560,anti
0.0031190142952563244,560,normal
0.0018752229227679475,560,anti
0.0025530688049448043,560,normal
0.0018775949758213846,560,anti
0.0036337403860235034,560,normal
0.0024684673891369456,560,anti
0.002769078888369777,560,normal
0.0018265191616922615,560,anti
0.0026967456281007203,560,normal
0.0018233390958151765,560,anti
0.0031346667890551454,560,normal
0.0019113151438039956,560,anti
0.0035988740449294865,560,normal
0.0022710226562006413,560,anti
0.0029645045745025434,560,normal
0.002015680413196191,560,anti
0.002191962668522423,670,normal
0.0014838721405215191,670,anti
0.0018888441147638922,670,normal
0.0012539003093873728,670,anti
0.002316876556781567,670,normal
0.0015586642368007337,670,anti
0.0021500512199325696,670,normal
0.0018895999414485004,670,anti
0.0022109931077833813,670,normal
0.0017314125765236642,670,anti
0.0026478286074216283,670,normal
0.001617241344491003,670,anti
0.0027917568551869844,670,normal
0.0012572316570226606,670,anti
0.0030005131415172946,670,normal
0.0017376232035127177,670,anti
0.0025659045205320193,670,normal
0.001315697032102487,670,anti
0.0032688116307785444,670,normal
0.0020599050901254825,670,anti
0.00282565756550688,780,normal
0.002147000925015445,780,anti
0.0024537634368690664,780,normal
0.001774924994454693,780,anti
0.0016816557553707885,780,normal
0.0013146590388542166,780,anti
0.003269951277122019,780,normal
0.0015496857499171883,780,anti
0.0019256969575224688,780,normal
0.0014597735283438586,780,anti
0.002278502448903184,780,normal
0.0018058958996737561,780,anti
0.002207952827701834,780,normal
0.001683079668948051,780,anti
0.002075734337948855,780,normal
0.0013187724120730792,780,anti
0.0029298469930821684,780,normal
0.001329660752765113,780,anti
0.0026536081116374038,780,normal
0.0016825776964143585,780,anti
0.0025506642039013483,890,normal
0.0015181546004113023,890,anti
0.0018321579689344598,890,normal
0.0015079861899545148,890,anti
0.0019808183628652783,890,normal
0.0013796065327450315,890,anti
0.0023462919931698406,890,normal
0.0017520188681598963,890,anti
0.0019747123698269343,890,normal
0.0014676870961405153,890,anti
0.002781460375008665,890,normal
0.0014952475631774796,890,anti
0.0013723689584772892,890,normal
0.0016119003469167845,890,anti
0.0020337856161020884,890,normal
0.0012811141160388748,890,anti
0.0012961893920293158,890,normal
0.0011739795466003974,890,anti
0.0025608401721460574,890,normal
0.0013795018976130407,890,anti
0.002324384534085569,1000,normal
0.0017303937736357809,1000,anti
0.001536416081677657,1000,normal
0.0010716005789138854,1000,anti
0.002720137680930874,1000,normal
0.002083407221055592,1000,anti
0.0019492000102406854,1000,normal
0.0018234968485058816,1000,anti
0.001815415975665774,1000,normal
0.0013845961523154902,1000,anti
0.002767342337855071,1000,normal
0.0013270070596861363,1000,anti
0.0027185207729175467,1000,normal
0.0018799040309495547,1000,anti
0.002160271605457832,1000,normal
0.0014093377838506943,1000,anti
0.0019994191362208745,1000,normal
0.001467082104131403,1000,anti
0.00236639148898303,1000,normal
0.0015180683439910733,1000,anti
